Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,2814264,22300,10.81,1200,10.80,10.80,2799176,15088
IEFA,805724,3900,56.37,9200,56.36,56.38,800711,5013
VIXY,635453,1300,15.26,5100,15.25,15.27,626730,8723
UVIX,574427,3900,10.99,3677,10.97,10.99,562564,11863
ARKG,555924,300,33.66,200,33.65,33.65,531655,24269
ITB,492596,400,55.71,700,55.69,55.70,491596,1000
USHY,392598,2400,34.42,12405,34.41,34.42,391374,1224
GOVT,379276,158759,22.44,203926,22.43,22.44,376499,2777
VXX,330574,1300,18.84,1650,18.83,18.84,326887,3687
IGV,274650,100,264.54,200,264.46,264.56,271887,2763
EZU,273996,7800,35.78,1000,35.76,35.77,273125,871
SVXY,245216,500,51.19,700,51.18,51.17,244026,1190
EFV,237173,3700,41.60,3400,41.59,41.59,233023,4150
INDA,227394,3700,42.28,1174,42.27,42.28,225776,1618
REM,192684,600,22.98,100,22.97,22.95,190090,2594
MTUM,172358,305,145.24,200,145.23,145.25,172350,8
USMV,127496,1500,69.85,200,69.83,69.85,126596,900
QUAL,124737,400,112.18,400,112.16,112.18,124637,100
NOBL,123600,600,86.52,200,86.50,86.51,121955,1645
SVIX,109857,1794,11.40,3600,11.39,11.39,107401,2456
COWZ,109766,700,46.56,1,46.54,46.54,102875,6891
FOCT,85248,400,32.65,11,32.57,32.59,83248,2000
DFIC,84329,8900,20.56,1000,20.55,20.54,80761,3568
VNM,83238,4871,11.48,100,11.47,11.47,82629,609
FLOT,77210,1092,50.19,2158,50.18,50.18,46440,30770
IYT,73469,400,211.55,400,211.40,211.41,72653,816
IGE,67942,1700,41.10,1600,41.08,41.14,59742,8200
EFAV,67356,500,59.06,900,59.04,59.05,66464,892
IDV,67254,2100,24.04,4900,24.03,24.04,67154,100
FGRO,63804,800,13.42,800,13.40,13.42,63804,0
EFG,62342,210,77.50,100,77.48,77.49,62341,1
VLUE,59178,500,91.19,500,91.17,91.17,59065,113
HYD,52607,200,48.58,700,48.55,48.56,52307,300
CBOE,49157,1,124.30,108,124.23,124.23,48751,406
FDRV,43620,1000,16.35,2000,16.26,16.54,43620,0
MOAT,42746,100,63.44,100,63.42,63.44,42746,0
IYZ,42706,1300,22.39,11200,22.38,22.39,42706,0
EEMV,41465,2534,51.25,1000,51.23,51.24,40702,763
BBEU,40261,1500,44.12,6300,44.11,44.11,39681,580
HEFA,38341,1304,31.57,1800,31.56,31.57,34241,4100
ITA,38060,300,103.12,300,103.05,103.12,35153,2907
PAVE,36472,1900,25.60,700,25.58,25.64,36131,341
DIHP,32449,3900,20.52,6700,20.51,20.52,30949,1500
IEO,31903,100,100.50,100,100.47,100.45,31903,0
ECH,31793,100,24.73,207,24.71,24.72,31596,197
BBCA,29582,100,57.16,1000,57.12,57.15,25282,4300
BBJP,29343,619,42.19,200,42.17,42.18,28757,586
ACWV,23869,100,91.94,500,91.90,91.91,22077,1792
ICF,23730,500,53.46,17,53.45,53.46,23630,100
PBUS,21037,1300,38.25,1300,38.15,38.22,21037,0
SLVP,20495,400,9.74,400,9.70,9.68,20391,104
VSGX,20302,600,45.58,100,45.53,45.53,17109,3193
AFIF,20188,600,8.68,200,8.66,8.66,20188,0
CNYA,20066,1000,29.64,1000,29.61,29.63,19405,661
DISV,19838,2800,19.97,60,19.96,19.96,19838,0
JMST,19750,70,50.28,1400,50.27,50.28,15850,3900
FRDM,18305,1476,26.27,108,26.25,26.30,18305,0
GCOW,18048,1200,29.07,2100,29.05,29.04,18048,0
FSEP,17413,3400,33.09,3000,33.00,33.09,15963,1450
ITM,17373,131,43.51,600,43.50,43.50,17209,164
ICSH,16987,27772,49.96,11042,49.95,49.96,16987,0
BBAX,16665,1003,43.32,1600,43.29,43.26,15691,974
EMGF,16575,100,39.09,618,39.08,39.11,11239,5336
CALF,16394,3300,37.02,1000,36.97,37.13,16394,0
